text,token
/ADD/BR10:00010::1045258118,<ecc_jobname>
/ADD/BR10:00010::1107679434,<ecc_jobname>
/ADD/BR10:00010::1121853468,<ecc_jobname>
/ADD/BR10:00010::1164828123,<ecc_jobname>
/ADD/BR10:00010::1195559271,<ecc_jobname>
/ADD/BR10:00010::1225675381,<ecc_jobname>
/ADD/BR10:00010::1280630993,<ecc_jobname>
/ADD/BR10:00010::1350423793,<ecc_jobname>
/ADD/BR10:00010::1358357681,<ecc_jobname>
/ADD/BR10:00010::1393281476,<ecc_jobname>
/ADD/BR10:00010::143656768,<ecc_jobname>
/ADD/BR10:00010::1545749338,<ecc_jobname>
/ADD/BR10:00010::1575464693,<ecc_jobname>
/ADD/BR10:00010::1591232449,<ecc_jobname>
/ADD/BR10:00010::1601188291,<ecc_jobname>
/ADD/BR10:00010::1604077805,<ecc_jobname>
/ADD/BR10:00010::1649142450,<ecc_jobname>
/ADD/BR10:00010::1675850474,<ecc_jobname>
/ADD/BR10:00010::174170297,<ecc_jobname>
/ADD/BR10:00010::1791448387,<ecc_jobname>
/ADD/BR10:00010::1844599347,<ecc_jobname>
/ADD/BR10:00010::1854758205,<ecc_jobname>
/ADD/BR10:00010::1864879339,<ecc_jobname>
/ADD/BR10:00010::1870582072,<ecc_jobname>
/ADD/BR10:00010::1937932168,<ecc_jobname>
/ADD/BR10:00010::1944386071,<ecc_jobname>
/ADD/BR10:00010::1953039474,<ecc_jobname>
/ADD/BR10:00010::2037010223,<ecc_jobname>
/ADD/BR10:00010::2085497032,<ecc_jobname>
/ADD/BR10:00010::221283819,<ecc_jobname>
/ADD/BR10:00010::334965899,<ecc_jobname>
/ADD/BR10:00010::479856687,<ecc_jobname>
/ADD/BR10:00010::524569614,<ecc_jobname>
/ADD/BR10:00010::549627765,<ecc_jobname>
/ADD/BR10:00010::554933441,<ecc_jobname>
/ADD/BR10:00010::622608495,<ecc_jobname>
/ADD/BR10:00010::733369416,<ecc_jobname>
/ADD/BR10:00010::760185711,<ecc_jobname>
/ADD/BR10:00010::777681380,<ecc_jobname>
/ADD/BR10:00010::821681334,<ecc_jobname>
/ADD/BR10:00010::890939068,<ecc_jobname>
/ADD/BR10:00010::943180856,<ecc_jobname>
/ADD/BR10:00010::963717866,<ecc_jobname>
/ADD/BR10:00035:P0000:1200770847,<ecc_jobname>
/ADD/BR10:00035:P0000:1463151196,<ecc_jobname>
/ADD/BR10:00035:P0000:1480509480,<ecc_jobname>
/ADD/BR10:00035:P0000:465811307,<ecc_jobname>
/ADD/BR10:00035:P0000:476962271,<ecc_jobname>
/ADD/BR10:00035:P0000:58275847,<ecc_jobname>
/ADD/BR10:00035:P0000:827359949,<ecc_jobname>
/ADD/BR23:00010::775011214,<ecc_jobname>
/ADD/BR23:00035:P0000:1739744926,<ecc_jobname>
/ADD/BR24:00010::1391334344,<ecc_jobname>
/ADD/BR24:00035:P0000:1415061480,<ecc_jobname>
/ADD/BR24:00035:P0000:1857721295,<ecc_jobname>
/ADD/BR24:00035:P0000:517890333,<ecc_jobname>
/ADD/BR30:00010::1164632486,<ecc_jobname>
/ADD/BR30:00010::1982577727,<ecc_jobname>
/ADD/BR30:00010::2063608165,<ecc_jobname>
/ADD/BR30:00010::458786431,<ecc_jobname>
/ADD/BR30:00010::92852316,<ecc_jobname>
/ADD/BR30:00035:P0000:1049709768,<ecc_jobname>
/ADD/BR30:00035:P0000:1463412485,<ecc_jobname>
/ADD/BR30:00035:P0000:1854642555,<ecc_jobname>
/BDL/TASK_PROCESSOR,<ecc_jobname>
/GLB/JOB_PAYMENTS_MX20KQ0262,<ecc_jobname>
/GLB/JOB_PAYMENTS_MX24UL0263,<ecc_jobname>
/GLB/OGT_EC82110262,<ecc_jobname>
/GLB/OGT_EC92350266,<ecc_jobname>
/GLB/OGT_GT02100261,<ecc_jobname>
/GLB/OGT_GT05130262,<ecc_jobname>
/GLB/OGT_GT05490263,<ecc_jobname>
/GLB/OGT_GT08570263,<ecc_jobname>
/GLB/OGT_GTX2330263,<ecc_jobname>
/GLB/OGT_GTX2360263,<ecc_jobname>
/GLB/OGT_MX48A10256,<ecc_jobname>
/GLB/OGT_US0610000001332195,<ecc_jobname>
/GLB/OGT_US0610000004501031,<ecc_jobname>
/GLB_202001031518505350006918,<ecc_jobname>
/GLB_202001031518535349962974,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*00,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*01,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*02,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*03,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*04,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*05,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*06,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*07,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*09,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*10,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*11,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*12,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*14,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*15,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*16,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*17,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*18,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*20,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*22,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*28,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*32,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*33,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*34,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*36,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*37,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*38,<ecc_jobname>
/IRM/IPCR_BILLING_MASS_PROCES*39,<ecc_jobname>
